date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:24:08	11454/11454	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2029%20May%202023%2013:03:54%20GMT	https://natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/jquery.instagramFeed.min.js?v=1685361627	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/jquery.instagramFeed.mineabe.js	(from https://www.natancunha.com/)
02:24:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:24:08%20GMT	http://natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/theme.js?v=1685361628	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/themecb5b.js	(from https://www.natancunha.com/)
02:24:08	98990/98990	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202023%2006:08:47%20GMT	https://natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/theme.js?v=1685361628	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/themes/void/310879/67038/themecb5b.js	(from https://www.natancunha.com/)
02:24:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Jun%202023%2005:24:08%20GMT	http://natancunhashopbarber.mycartpanda.com/js/vue.js	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/js/vue.js	(from https://www.natancunha.com/)
02:24:09	94736/94736	---MCZ	200	added ('OK')	application/javascript	etag:W/%226476d8a3-17216%22	https://natancunhashopbarber.mycartpanda.com/js/vue.js	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/natancunhashopbarber.mycartpanda.com/js/vue.js	(from https://www.natancunha.com/)
02:24:10	1003/1003	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22647708bd-3eb%22	https://www.natancunha.com/placeholders/image.svg	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/placeholders/image.svg	(from https://www.natancunha.com/)
02:24:10	4679/4679	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:24:09%20GMT	https://www.natancunha.com/account/login	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/account/login.html	(from https://www.natancunha.com/)
02:24:10	4679/4679	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2005:24:10%20GMT	https://www.natancunha.com/account/register	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/account/register.html	(from https://www.natancunha.com/)
02:24:10	15005/15005	---MCZ	200	added ('OK')	application/javascript	etag:W/%226476d8a3-3ad0%22	https://www.natancunha.com/js/custom-options-advance.js	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/js/custom-options-advance.js	(from https://www.natancunha.com/)
02:24:11	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2001%20Jun%202023%2005:24:10%20GMT	https://www.natancunha.com/cdn-cgi/challenge-platform/scripts/invisible.js	C:/Users/Natan%20Cunha's/Downloads/www.natancunha.com/www.natancunha.com/cdn-cgi/challenge-platform/scripts/invisible.js	(from https://www.natancunha.com/)
